_u,_v,dB(NearETotal)
-15,-15,-17.2203
-14.5,-15,-17.0139
-14,-15,-17.178
-13.5,-15,-14.936
-13,-15,-20.2379
-12.5,-15,-11.4922
-12,-15,-15.8606
-11.5,-15,-10.4732
-11,-15,-14.6401
-10.5,-15,-16.2791
-10,-15,-15.7268
-9.5,-15,-15.3507
-9,-15,-14.1799
-8.5,-15,-17.4753
-8,-15,-19.8529
-7.5,-15,-14.1135
-7,-15,-16.7774
-6.5,-15,-10.9724
-6,-15,-16.5988
-5.5,-15,-13.5317
-5,-15,-8.27208
-4.5,-15,-11.1842
-4,-15,-13.5525
-3.5,-15,-12.7754
-3,-15,-17.4133
-2.5,-15,-8.57732
-2,-15,-13.9301
-1.5,-15,-14.8929
-1,-15,-14.9354
-0.5,-15,-16.9833
0,-15,-21.4315
0.5,-15,-11.6447
1,-15,-16.3367
1.5,-15,-9.88133
2,-15,-14.6411
2.5,-15,-13.0182
3,-15,-12.0092
3.5,-15,-9.34316
4,-15,-16.6092
4.5,-15,-19.7236
5,-15,-16.1398
5.5,-15,-11.1829
6,-15,-11.9504
6.5,-15,-17.0185
7,-15,-17.2627
7.5,-15,-11.2129
8,-15,-20.6776
8.5,-15,-11.2162
9,-15,-14.1535
9.5,-15,-13.9751
10,-15,-15.8706
10.5,-15,-15.437
11,-15,-11.0727
11.5,-15,-16.1887
12,-15,-15.5041
12.5,-15,-13.9192
13,-15,-9.92926
13.5,-15,-11.5399
14,-15,-12.7826
14.5,-15,-18.3773
15,-15,-19.6169
-15,-14.5,-15.6238
-14.5,-14.5,-17.0851
-14,-14.5,-16.6611
-13.5,-14.5,-14.8891
-13,-14.5,-17.1034
-12.5,-14.5,-11.6764
-12,-14.5,-13.118
-11.5,-14.5,-18.5179
-11,-14.5,-17.7541
-10.5,-14.5,-14.4955
-10,-14.5,-19.9789
-9.5,-14.5,-12.903
-9,-14.5,-13.5612
-8.5,-14.5,-12.7445
-8,-14.5,-16.4914
-7.5,-14.5,-18.9353
-7,-14.5,-14.9347
-6.5,-14.5,-12.4351
-6,-14.5,-17.9663
-5.5,-14.5,-8.76988
-5,-14.5,-14.625
-4.5,-14.5,-14.2611
-4,-14.5,-12.3028
-3.5,-14.5,-16.4209
-3,-14.5,-17.0185
-2.5,-14.5,-18.2059
-2,-14.5,-6.74695
-1.5,-14.5,-13.5175
-1,-14.5,-10.0911
-0.5,-14.5,-10.728
0,-14.5,-16.1586
0.5,-14.5,-14.1661
1,-14.5,-11.3728
1.5,-14.5,-16.1165
2,-14.5,-15.3358
2.5,-14.5,-16.9128
3,-14.5,-15.2032
3.5,-14.5,-16.0879
4,-14.5,-9.97163
4.5,-14.5,-14.1201
5,-14.5,-19.5927
5.5,-14.5,-9.79511
6,-14.5,-15.4994
6.5,-14.5,-14.9013
7,-14.5,-12.9474
7.5,-14.5,-18.4756
8,-14.5,-14.4475
8.5,-14.5,-19.095
9,-14.5,-15.0464
9.5,-14.5,-17.1837
10,-14.5,-14.2182
10.5,-14.5,-15.1743
11,-14.5,-12.1998
