_u,_v,dB(NearETotal)
-20,-20,-13.3867
-19.2,-20,-6.91012
-18.4,-20,-6.38117
-17.6,-20,-8.57519
-16.8,-20,-7.09553
-16,-20,-3.9402
-15.2,-20,-6.98002
-14.4,-20,-5.37613
-13.6,-20,-7.61661
-12.8,-20,-7.41051
-12,-20,-6.88629
-11.2,-20,-10.6061
-10.4,-20,-9.75381
-9.6,-20,-14.3471
-8.8,-20,-11.8784
-8,-20,-14.6444
-7.2,-20,-18.7725
-6.4,-20,-19.929
-5.6,-20,-28.306
-4.8,-20,-18.3377
-4,-20,-17.1537
-3.2,-20,-17.7231
-2.4,-20,-12.0474
-1.6,-20,-22.8698
-0.8,-20,-29.476
0,-20,-21.5336
0.8,-20,-23.3764
1.6,-20,-23.062
2.4,-20,-20.7313
3.2,-20,-19.4169
4,-20,-23.57
4.8,-20,-23.1839
5.6,-20,-20.9067
6.4,-20,-18.7764
7.2,-20,-26.2446
8,-20,-21.0555
8.8,-20,-22.9053
9.6,-20,-23.4519
10.4,-20,-21.2635
11.2,-20,-21.0313
12,-20,-24.8043
12.8,-20,-25.6761
13.6,-20,-21.518
14.4,-20,-13.012
15.2,-20,-28.8024
16,-20,-26.4402
16.8,-20,-21.3571
17.6,-20,-28.2968
18.4,-20,-23.9144
19.2,-20,-25.8629
20,-20,-27.6775
-20,-19.2,-3.72855
-19.2,-19.2,-9.73456
-18.4,-19.2,-5.69027
-17.6,-19.2,-10.0805
-16.8,-19.2,-10.0169
-16,-19.2,-10.0316
-15.2,-19.2,-8.4599
-14.4,-19.2,-9.95856
-13.6,-19.2,-7.35662
-12.8,-19.2,-9.84722
-12,-19.2,-8.16537
-11.2,-19.2,-10.6502
-10.4,-19.2,-11.8808
-9.6,-19.2,-15.1764
-8.8,-19.2,-15.0942
-8,-19.2,-11.6123
-7.2,-19.2,-16.12
-6.4,-19.2,-17.3543
-5.6,-19.2,-18.0211
-4.8,-19.2,-16.0092
-4,-19.2,-20.4282
-3.2,-19.2,-18.7056
-2.4,-19.2,-22.4696
-1.6,-19.2,-19.3278
-0.8,-19.2,-20.1561
0,-19.2,-15.9677
0.8,-19.2,-19.594
1.6,-19.2,-20.3789
2.4,-19.2,-24.1036
3.2,-19.2,-16.8239
4,-19.2,-20.7001
4.8,-19.2,-18.6571
5.6,-19.2,-19.5255
6.4,-19.2,-22.7048
7.2,-19.2,-19.4237
8,-19.2,-18.4519
8.8,-19.2,-21.6593
9.6,-19.2,-17.9436
10.4,-19.2,-24.1445
11.2,-19.2,-31.993
12,-19.2,-22.212
12.8,-19.2,-25.7606
13.6,-19.2,-24.6746
14.4,-19.2,-26.0115
15.2,-19.2,-27.3516
16,-19.2,-26.6911
16.8,-19.2,-27.3258
17.6,-19.2,-20.3469
18.4,-19.2,-29.4755
19.2,-19.2,-25.676
20,-19.2,-27.0643
-20,-18.4,-6.54011
-19.2,-18.4,-12.7126
-18.4,-18.4,-7.27698
-17.6,-18.4,-15.1328
-16.8,-18.4,-10.6605
-16,-18.4,-4.62137
-15.2,-18.4,-9.57699
-14.4,-18.4,-9.68148
-13.6,-18.4,-6.2131
-12.8,-18.4,-9.35602
-12,-18.4,-11.4555
-11.2,-18.4,-13.575
-10.4,-18.4,-14.7544
-9.6,-18.4,-14.3634
-8.8,-18.4,-17.6805
-8,-18.4,-14.1862
-7.2,-18.4,-12.796
-6.4,-18.4,-17.0604
-5.6,-18.4,-15.5559
