_u,_v,dB(NearPoyntingTotal)
-20,-20,-41.7238
-19.2,-20,-35.7014
-18.4,-20,-36.1775
-17.6,-20,-36.1798
-16.8,-20,-36.2471
-16,-20,-32.5186
-15.2,-20,-35.8287
-14.4,-20,-34.6092
-13.6,-20,-37.553
-12.8,-20,-35.3061
-12,-20,-35.6504
-11.2,-20,-39.4252
-10.4,-20,-38.4258
-9.6,-20,-43.4036
-8.8,-20,-39.5531
-8,-20,-42.753
-7.2,-20,-47.3581
-6.4,-20,-48.7693
-5.6,-20,-54.4737
-4.8,-20,-46.7673
-4,-20,-46.3154
-3.2,-20,-46.749
-2.4,-20,-43.8267
-1.6,-20,-51.8057
-0.8,-20,-60.8644
0,-20,-49.6707
0.8,-20,-51.8497
1.6,-20,-52.3937
2.4,-20,-50.1842
3.2,-20,-52.0853
4,-20,-51.909
4.8,-20,-52.6157
5.6,-20,-49.464
6.4,-20,-47.2688
7.2,-20,-53.6141
8,-20,-49.493
8.8,-20,-51.4864
9.6,-20,-51.883
10.4,-20,-49.6102
11.2,-20,-49.1832
12,-20,-52.8996
12.8,-20,-54.5173
13.6,-20,-50.0914
14.4,-20,-49.1329
15.2,-20,-57.4851
16,-20,-54.8408
16.8,-20,-50.3043
17.6,-20,-55.6415
18.4,-20,-53.539
19.2,-20,-54.6114
20,-20,-57.0015
-20,-19.2,-32.3942
-19.2,-19.2,-38.266
-18.4,-19.2,-34.3291
-17.6,-19.2,-39.331
-16.8,-19.2,-38.1091
-16,-19.2,-37.4594
-15.2,-19.2,-36.8298
-14.4,-19.2,-39.0681
-13.6,-19.2,-36.2568
-12.8,-19.2,-38.3311
-12,-19.2,-37.2357
-11.2,-19.2,-39.3514
-10.4,-19.2,-40.5064
-9.6,-19.2,-44.0648
-8.8,-19.2,-44.2323
-8,-19.2,-41.3502
-7.2,-19.2,-45.056
-6.4,-19.2,-46.5968
-5.6,-19.2,-47.4671
-4.8,-19.2,-44.4962
-4,-19.2,-49.7536
-3.2,-19.2,-48.1843
-2.4,-19.2,-51.9656
-1.6,-19.2,-48.0902
-0.8,-19.2,-49.0301
0,-19.2,-44.9172
0.8,-19.2,-48.5632
1.6,-19.2,-49.8183
2.4,-19.2,-52.5076
3.2,-19.2,-54.4544
4,-19.2,-49.4842
4.8,-19.2,-47.3796
5.6,-19.2,-47.3867
6.4,-19.2,-51.8785
7.2,-19.2,-47.7327
8,-19.2,-46.8257
8.8,-19.2,-51.0444
9.6,-19.2,-46.6779
10.4,-19.2,-52.9378
11.2,-19.2,-60.6739
12,-19.2,-51.2651
12.8,-19.2,-54.8673
13.6,-19.2,-53.5667
14.4,-19.2,-54.4533
15.2,-19.2,-55.9563
16,-19.2,-54.4096
16.8,-19.2,-55.5946
17.6,-19.2,-48.9252
18.4,-19.2,-58.9479
19.2,-19.2,-54.1821
20,-19.2,-56.3705
-20,-18.4,-36.2606
-19.2,-18.4,-41.1503
-18.4,-18.4,-36.2373
-17.6,-18.4,-43.0598
-16.8,-18.4,-38.856
-16,-18.4,-33.6582
-15.2,-18.4,-37.8299
-14.4,-18.4,-38.4275
-13.6,-18.4,-36.0899
-12.8,-18.4,-38.8791
-12,-18.4,-39.9345
-11.2,-18.4,-41.7098
-10.4,-18.4,-44.2398
-9.6,-18.4,-43.7112
-8.8,-18.4,-46.9759
-8,-18.4,-42.9046
-7.2,-18.4,-43.5396
-6.4,-18.4,-45.2656
-5.6,-18.4,-45.2842
-4.8,-18.4,-46.1635
-4,-18.4,-47.7762
-3.2,-18.4,-43.912
-2.4,-18.4,-45.9246
-1.6,-18.4,-44.4358
-0.8,-18.4,-45.5577
0,-18.4,-49.0171
0.8,-18.4,-48.5763
1.6,-18.4,-53.5752
2.4,-18.4,-43.1841
3.2,-18.4,-49.67
4,-18.4,-49.6601
4.8,-18.4,-46.423
5.6,-18.4,-45.8741
6.4,-18.4,-47.3213
7.2,-18.4,-51.2878
8,-18.4,-54.3811
8.8,-18.4,-54.0859
9.6,-18.4,-50.5612
10.4,-18.4,-56.8586
11.2,-18.4,-54.3932
12,-18.4,-51.8858
12.8,-18.4,-49.3323
13.6,-18.4,-49.587
14.4,-18.4,-52.341
15.2,-18.4,-53.6247
16,-18.4,-52.4663
16.8,-18.4,-51.2234
17.6,-18.4,-56.435
18.4,-18.4,-53.9939
19.2,-18.4,-54.8431
20,-18.4,-54.8508
-20,-17.6,-37.7306
-19.2,-17.6,-43.1235
-18.4,-17.6,-38.1409
-17.6,-17.6,-36.7146
-16.8,-17.6,-38.263
-16,-17.6,-37.9398
-15.2,-17.6,-30.3714
-14.4,-17.6,-37.0293
-13.6,-17.6,-38.0862
-12.8,-17.6,-40.3524
-12,-17.6,-43.2032
-11.2,-17.6,-39.8631
-10.4,-17.6,-41.7298
-9.6,-17.6,-42.259
-8.8,-17.6,-42.4496
-8,-17.6,-42.8776
-7.2,-17.6,-43.9103
-6.4,-17.6,-45.0732
-5.6,-17.6,-46.4987
-4.8,-17.6,-45.268
-4,-17.6,-44.5994
-3.2,-17.6,-43.9419
-2.4,-17.6,-42.4247
-1.6,-17.6,-43.6641
-0.8,-17.6,-48.4375
0,-17.6,-50.9118
0.8,-17.6,-54.1556
1.6,-17.6,-51.7322
