_u,_v,abs(NearPoyntingTotal)[irrad_W_per_m2]
-10,-10,2.56637e-05
-9.5,-10,4.18897e-05
-9,-10,4.85555e-05
-8.5,-10,7.78388e-05
-8,-10,3.27474e-05
-7.5,-10,7.72135e-05
-7,-10,0.000126013
-6.5,-10,7.45707e-05
-6,-10,8.93389e-05
-5.5,-10,0.000106838
-5,-10,5.90896e-05
-4.5,-10,0.00013842
-4,-10,0.000110484
-3.5,-10,0.000115064
-3,-10,0.000121052
-2.5,-10,0.000134429
-2,-10,0.0001781
-1.5,-10,0.000266325
-1,-10,0.000236145
-0.5,-10,0.00027041
0,-10,0.000407974
0.5,-10,0.000546081
1,-10,0.000630663
1.5,-10,0.000722399
2,-10,0.00085358
2.5,-10,0.000762442
3,-10,0.00102571
3.5,-10,0.00124673
4,-10,0.00095009
4.5,-10,0.000699803
5,-10,0.000431863
5.5,-10,0.000278636
6,-10,0.000456013
6.5,-10,0.000718738
7,-10,0.000517854
7.5,-10,0.00020217
8,-10,0.000346612
8.5,-10,0.000446459
9,-10,0.000243236
9.5,-10,0.000166137
10,-10,0.000479022
-10,-9.5,3.48587e-05
-9.5,-9.5,5.0595e-05
-9,-9.5,4.05233e-05
-8.5,-9.5,7.87661e-05
-8,-9.5,4.624e-05
-7.5,-9.5,4.13285e-05
-7,-9.5,5.00627e-05
-6.5,-9.5,1.20003e-05
-6,-9.5,2.09461e-05
-5.5,-9.5,2.60958e-05
-5,-9.5,3.80771e-05
-4.5,-9.5,9.24213e-05
-4,-9.5,9.89104e-05
-3.5,-9.5,0.000128068
-3,-9.5,9.49597e-05
-2.5,-9.5,6.98107e-05
-2,-9.5,0.000138486
-1.5,-9.5,0.000173611
-1,-9.5,0.000257216
-0.5,-9.5,0.000254134
0,-9.5,0.000302666
0.5,-9.5,0.000339797
1,-9.5,0.000345624
1.5,-9.5,0.00057141
2,-9.5,0.000796654
2.5,-9.5,0.000736672
3,-9.5,0.000659518
3.5,-9.5,0.00101101
4,-9.5,0.00146931
4.5,-9.5,0.00111175
5,-9.5,0.0010254
5.5,-9.5,0.000642502
6,-9.5,0.000626868
6.5,-9.5,0.000906567
7,-9.5,0.000657846
7.5,-9.5,0.000400075
8,-9.5,0.000573294
8.5,-9.5,0.000783545
9,-9.5,0.00044626
9.5,-9.5,0.000358391
10,-9.5,0.000918741
-10,-9,2.67478e-05
-9.5,-9,2.07562e-05
-9,-9,2.27507e-05
-8.5,-9,9.68054e-05
-8,-9,5.11346e-05
-7.5,-9,3.2196e-05
-7,-9,3.14617e-05
-6.5,-9,1.20017e-05
-6,-9,2.72245e-05
-5.5,-9,1.97236e-05
-5,-9,3.86071e-05
-4.5,-9,7.39001e-05
-4,-9,9.64888e-05
-3.5,-9,0.000191602
-3,-9,0.000170561
-2.5,-9,2.36989e-05
-2,-9,5.19892e-05
-1.5,-9,0.000140311
-1,-9,0.000174443
-0.5,-9,0.00015903
0,-9,0.000310678
0.5,-9,0.000186245
1,-9,0.000239068
1.5,-9,0.000442462
2,-9,0.000341394
2.5,-9,0.000431789
3,-9,0.000862306
3.5,-9,0.000770526
4,-9,0.000927699
4.5,-9,0.0013181
5,-9,0.00122132
5.5,-9,0.0012268
6,-9,0.000865835
6.5,-9,0.000723757
7,-9,0.000725006
7.5,-9,0.000512595
8,-9,0.000471857
8.5,-9,0.00110068
9,-9,0.000500368
9.5,-9,0.000447213
10,-9,0.000928775
-10,-8.5,3.77335e-05
-9.5,-8.5,2.45169e-05
-9,-8.5,1.44517e-05
-8.5,-8.5,4.57958e-05
-8,-8.5,2.61407e-05
-7.5,-8.5,8.87481e-06
-7,-8.5,1.29988e-05
-6.5,-8.5,3.17591e-05
-6,-8.5,3.159e-05
-5.5,-8.5,5.82654e-05
-5,-8.5,6.16902e-05
-4.5,-8.5,2.82837e-05
-4,-8.5,3.25586e-05
-3.5,-8.5,0.000112651
-3,-8.5,0.000100151
-2.5,-8.5,7.13109e-05
-2,-8.5,0.000103799
-1.5,-8.5,0.0001196
-1,-8.5,0.000128596
-0.5,-8.5,7.8909e-05
0,-8.5,0.000164675
0.5,-8.5,0.000173413
1,-8.5,0.000152071
1.5,-8.5,0.000335653
2,-8.5,0.000338631
2.5,-8.5,0.000356182
3,-8.5,0.000490159
3.5,-8.5,0.000672534
4,-8.5,0.000778293
4.5,-8.5,0.000671279
5,-8.5,0.00074401
5.5,-8.5,0.00128704
6,-8.5,0.000988327
6.5,-8.5,0.000820351
7,-8.5,0.000854885
7.5,-8.5,0.000854227
8,-8.5,0.000826072
8.5,-8.5,0.00121429
9,-8.5,0.000384697
9.5,-8.5,0.000716427
10,-8.5,0.00172774
-10,-8,5.7465e-05
-9.5,-8,2.02877e-05
-9,-8,1.63702e-05
-8.5,-8,4.19044e-05
-8,-8,4.81248e-05
-7.5,-8,2.38136e-05
-7,-8,1.8391e-06
-6.5,-8,6.43468e-05
-6,-8,4.97663e-05
