CURVE2 (cv_her_20.dta )
Vf (V vs. Ref.)	Im (A)
2.99047e+0	9.46738e-2
2.98058e+0	9.38907e-2
2.9706e+0	9.33016e-2
2.96048e+0	9.26807e-2
2.9505e+0	9.20709e-2
2.94056e+0	9.12279e-2
2.93059e+0	9.0917e-2
2.92059e+0	9.01263e-2
2.91051e+0	8.92649e-2
2.90052e+0	8.87823e-2
2.89052e+0	8.81146e-2
2.88051e+0	8.76182e-2
2.87055e+0	8.68325e-2
2.86045e+0	8.61482e-2
2.85048e+0	8.54666e-2
2.84054e+0	8.49582e-2
2.83057e+0	8.45384e-2
2.82059e+0	8.38947e-2
2.81042e+0	8.30498e-2
2.80043e+0	8.23601e-2
2.79052e+0	8.18643e-2
2.78051e+0	8.10982e-2
2.77052e+0	8.03462e-2
2.76041e+0	7.96179e-2
2.75048e+0	7.92974e-2
2.74048e+0	7.85777e-2
2.7305e+0	7.79499e-2
2.72053e+0	7.75856e-2
2.71049e+0	7.66261e-2
2.70052e+0	7.61592e-2
2.69049e+0	7.55967e-2
2.68051e+0	7.47781e-2
2.67048e+0	7.41238e-2
2.66056e+0	7.353e-2
2.6504e+0	7.28065e-2
2.64043e+0	7.22646e-2
2.63045e+0	7.18723e-2
2.62044e+0	7.11555e-2
2.61052e+0	7.05551e-2
2.60047e+0	6.99241e-2
2.59049e+0	6.91544e-2
2.58053e+0	6.86393e-2
2.5706e+0	6.8e-2
2.56056e+0	6.72766e-2
2.55039e+0	6.67161e-2
2.54049e+0	6.62229e-2
2.53048e+0	6.56634e-2
2.52054e+0	6.50197e-2
2.51057e+0	6.44492e-2
2.50046e+0	6.37656e-2
2.49048e+0	6.32006e-2
2.48055e+0	6.26226e-2
2.47053e+0	6.19283e-2
2.46052e+0	6.15147e-2
2.45041e+0	6.08874e-2
2.44044e+0	6.02017e-2
2.43052e+0	5.9603e-2
2.42053e+0	5.8996e-2
2.41052e+0	5.84928e-2
2.40045e+0	5.79676e-2
2.39043e+0	5.73496e-2
2.38049e+0	5.66756e-2
2.37053e+0	5.60482e-2
2.36051e+0	5.5471e-2
2.35038e+0	5.48979e-2
2.34042e+0	5.44133e-2
2.33042e+0	5.39184e-2
2.32043e+0	5.33411e-2
2.31047e+0	5.27389e-2
2.30038e+0	5.20419e-2
2.29046e+0	5.14458e-2
2.28044e+0	5.08271e-2
2.27028e+0	5.01656e-2
2.26028e+0	4.97218e-2
2.25021e+0	4.89907e-2
2.2402e+0	4.85294e-2
2.23021e+0	4.79921e-2
2.22022e+0	4.74427e-2
2.21025e+0	4.67906e-2
2.2003e+0	4.62689e-2
2.19018e+0	4.57509e-2
2.18026e+0	4.52242e-2
2.17028e+0	4.46621e-2
2.16028e+0	4.41761e-2
2.15032e+0	4.36153e-2
2.14017e+0	4.30411e-2
2.13022e+0	4.25111e-2
2.12023e+0	4.20222e-2
2.11029e+0	4.14074e-2
2.1003e+0	4.08326e-2
2.09019e+0	4.02631e-2
2.08018e+0	3.96864e-2
2.07025e+0	3.92071e-2
2.06026e+0	3.86873e-2
2.0503e+0	3.81433e-2
2.04015e+0	3.76972e-2
2.03019e+0	3.71784e-2
2.02024e+0	3.66339e-2
2.01025e+0	3.61258e-2
2.00024e+0	3.56401e-2
1.99015e+0	3.51612e-2
1.9802e+0	3.46005e-2
1.97025e+0	3.41251e-2
1.96024e+0	3.36427e-2
1.95029e+0	3.3145e-2
1.94016e+0	3.26142e-2
1.93018e+0	3.21005e-2
1.92024e+0	3.16175e-2
1.91026e+0	3.111e-2
1.90023e+0	3.06198e-2
1.89013e+0	3.00829e-2
1.88022e+0	2.96297e-2
1.87015e+0	2.91176e-2
1.86024e+0	2.86221e-2
1.85022e+0	2.8142e-2
1.84033e+0	2.76802e-2
1.83019e+0	2.716e-2
1.82018e+0	2.66326e-2
1.81026e+0	2.62172e-2
1.80022e+0	2.57432e-2
1.79026e+0	2.52792e-2
1.78019e+0	2.47789e-2
1.77021e+0	2.43461e-2
1.76023e+0	2.38822e-2
1.75024e+0	2.3362e-2
1.74028e+0	2.28796e-2
1.73013e+0	2.23918e-2
1.7202e+0	2.19514e-2
1.71019e+0	2.14601e-2
1.70027e+0	2.10212e-2
1.69028e+0	2.05725e-2
1.68022e+0	2.00938e-2
1.67021e+0	1.96335e-2
1.66022e+0	1.91615e-2
1.65025e+0	1.86723e-2
1.64028e+0	1.82336e-2
1.63017e+0	1.78107e-2
